date	asset	price_usd	cpi
2024-04-01	GLD	207.82000732421875	313.548
2024-04-01	SPY	522.1599731445312	313.548
2024-04-01	GLD	207.82000732421875	313.548
2024-05-01	BTC	58297.574075325494	314.069
2024-05-01	BTC	58297.574075325494	314.069
2024-05-01	GLD	213.7899932861328	314.069
2024-05-01	GLD	213.7899932861328	314.069
2024-05-01	BTC	58297.574075325494	314.069
2024-05-01	SPY	500.3500061035156	314.069
2024-05-01	BTC	58297.574075325494	314.069
2024-05-01	GLD	213.7899932861328	314.069
2024-05-01	BTC	58297.574075325494	314.069
2024-05-01	BTC	58297.574075325494	314.069
2024-05-01	SPY	500.3500061035156	314.069
2024-05-01	SPY	500.3500061035156	314.069
2024-05-01	BTC	58297.574075325494	314.069
2024-05-01	SPY	500.3500061035156	314.069
2024-05-01	BTC	58297.574075325494	314.069
2024-05-01	BTC	58297.574075325494	314.069
2024-05-01	SPY	500.3500061035156	314.069
2024-05-01	BTC	58297.574075325494	314.069
2024-05-01	BTC	58297.574075325494	314.069
2024-05-01	GLD	213.7899932861328	314.069
2024-05-01	GLD	213.7899932861328	314.069
2024-05-01	BTC	58297.574075325494	314.069
2024-05-01	BTC	58297.574075325494	314.069
2024-05-01	BTC	58297.574075325494	314.069
2024-05-01	SPY	500.3500061035156	314.069
2024-05-01	GLD	213.7899932861328	314.069
2024-05-01	GLD	213.7899932861328	314.069
2024-05-01	BTC	58297.574075325494	314.069
2024-05-01	BTC	58297.574075325494	314.069
2024-05-01	GLD	213.7899932861328	314.069
2024-05-01	SPY	500.3500061035156	314.069
2024-05-01	SPY	500.3500061035156	314.069
2024-05-01	BTC	58297.574075325494	314.069
2024-05-01	BTC	58297.574075325494	314.069
2024-05-01	GLD	213.7899932861328	314.069
2024-05-01	GLD	213.7899932861328	314.069
2024-05-01	BTC	58297.574075325494	314.069
2024-05-01	BTC	58297.574075325494	314.069
2024-05-01	BTC	58297.574075325494	314.069
2024-05-01	SPY	500.3500061035156	314.069
2024-05-01	SPY	500.3500061035156	314.069
2024-05-01	GLD	213.7899932861328	314.069
2024-05-01	SPY	500.3500061035156	314.069
2024-05-01	BTC	60749.47209216387	314.069
2024-05-01	BTC	60749.47209216387	314.069
2024-05-01	BTC	60749.47209216387	314.069
2024-05-01	BTC	58297.574075325494	314.069
2024-05-01	BTC	58297.574075325494	314.069
2024-05-01	BTC	58297.574075325494	314.069
2024-05-01	SPY	500.3500061035156	314.069
2024-05-01	GLD	213.7899932861328	314.069
2024-05-01	BTC	58297.574075325494	314.069
2024-05-01	BTC	58297.574075325494	314.069
2024-05-01	SPY	500.3500061035156	314.069
2024-05-01	SPY	500.3500061035156	314.069
2024-05-01	BTC	58297.574075325494	314.069
2024-05-01	BTC	58297.574075325494	314.069
2024-05-01	GLD	213.7899932861328	314.069
2024-05-01	GLD	213.7899932861328	314.069
2024-05-01	BTC	60749.47209216387	314.069
2024-05-01	GLD	213.7899932861328	314.069
2024-05-01	GLD	213.7899932861328	314.069
2024-05-01	BTC	58297.574075325494	314.069
2024-05-01	BTC	58297.574075325494	314.069
2024-05-01	BTC	58297.574075325494	314.069
2024-05-01	SPY	500.3500061035156	314.069
2024-05-01	SPY	500.3500061035156	314.069
2024-05-01	GLD	213.7899932861328	314.069
2024-05-01	GLD	213.7899932861328	314.069
2024-05-01	BTC	58297.574075325494	314.069
2024-05-01	BTC	58297.574075325494	314.069
2024-05-01	GLD	213.7899932861328	314.069
2024-05-01	SPY	500.3500061035156	314.069
2024-05-01	GLD	213.7899932861328	314.069
2024-05-01	GLD	213.7899932861328	314.069
2024-05-01	SPY	500.3500061035156	314.069
2024-05-01	BTC	58297.574075325494	314.069
2024-05-01	SPY	500.3500061035156	314.069
2024-05-01	SPY	500.3500061035156	314.069
2024-05-01	SPY	500.3500061035156	314.069
2024-05-01	SPY	500.3500061035156	314.069
2024-05-01	BTC	58297.574075325494	314.069
2024-05-01	SPY	500.3500061035156	314.069
2024-05-01	SPY	500.3500061035156	314.069
2024-05-01	GLD	213.7899932861328	314.069
2024-05-01	GLD	213.7899932861328	314.069
2024-05-01	GLD	213.7899932861328	314.069
2024-05-01	GLD	213.7899932861328	314.069
2024-05-01	BTC	58297.574075325494	314.069
2024-05-01	BTC	58297.574075325494	314.069
2024-05-01	GLD	213.7899932861328	314.069
2024-05-01	SPY	500.3500061035156	314.069
2024-05-01	SPY	500.3500061035156	314.069
2024-05-01	BTC	58297.574075325494	314.069
2024-05-01	BTC	58297.574075325494	314.069
2024-05-01	BTC	58297.574075325494	314.069
2024-05-01	BTC	58297.574075325494	314.069
2024-05-01	BTC	58297.574075325494	314.069
2024-06-01	BTC	67704.32641811523	314.175
2024-06-01	BTC	67704.32641811523	314.175
2024-06-01	BTC	67704.32641811523	314.175
2024-06-01	BTC	67704.32641811523	314.175
2024-06-01	BTC	67704.32641811523	314.175
2024-06-01	BTC	67704.32641811523	314.175
2024-06-01	BTC	67704.32641811523	314.175
2024-06-01	BTC	67704.32641811523	314.175
2024-06-01	BTC	67704.32641811523	314.175
2024-06-01	BTC	67704.32641811523	314.175
2024-06-01	BTC	67474.95483698409	314.175
2024-06-01	BTC	67704.32641811523	314.175
2024-06-01	BTC	67704.32641811523	314.175
2024-06-01	BTC	67704.32641811523	314.175
2024-06-01	BTC	67704.32641811523	314.175
2024-06-01	BTC	67704.32641811523	314.175
2024-06-01	BTC	67704.32641811523	314.175
2024-06-01	BTC	67704.32641811523	314.175
2024-06-01	BTC	67704.32641811523	314.175
2024-06-01	BTC	67704.32641811523	314.175
2024-06-01	BTC	67704.32641811523	314.175
2024-06-01	BTC	67704.32641811523	314.175
2024-06-01	BTC	67474.95483698409	314.175
2024-06-01	BTC	67704.32641811523	314.175
2024-06-01	BTC	67704.32641811523	314.175
2024-06-01	BTC	67704.32641811523	314.175
2024-06-01	BTC	67704.32641811523	314.175
2024-06-01	BTC	67704.32641811523	314.175
2024-06-01	BTC	67704.32641811523	314.175
2024-06-01	BTC	67704.32641811523	314.175
2024-06-01	BTC	67704.32641811523	314.175
2024-06-01	BTC	67704.32641811523	314.175
2024-06-01	BTC	67704.32641811523	314.175
2024-06-01	BTC	67704.32641811523	314.175
2024-06-01	BTC	67704.32641811523	314.175
2024-06-01	BTC	67704.32641811523	314.175
2024-06-01	BTC	67704.32641811523	314.175
2024-06-01	BTC	67704.32641811523	314.175
2024-06-01	BTC	67704.32641811523	314.175
2024-06-01	BTC	67704.32641811523	314.175
2024-06-01	BTC	67704.32641811523	314.175
2024-06-01	BTC	67704.32641811523	314.175
2024-06-01	BTC	67704.32641811523	314.175
2024-06-01	BTC	67474.95483698409	314.175
2024-06-01	BTC	67704.32641811523	314.175
2024-06-01	BTC	67474.95483698409	314.175
2024-07-01	BTC	62819.82226921849	314.54
2024-07-01	SPY	545.3400268554688	314.54
2024-07-01	SPY	545.3400268554688	314.54
2024-07-01	BTC	62819.82226921849	314.54
2024-07-01	BTC	62819.82226921849	314.54
2024-07-01	BTC	62819.82226921849	314.54
2024-07-01	BTC	62819.82226921849	314.54
2024-07-01	BTC	62819.82226921849	314.54
2024-07-01	GLD	215.57000732421875	314.54
2024-07-01	BTC	62819.82226921849	314.54
2024-07-01	BTC	62819.82226921849	314.54
2024-07-01	BTC	62819.82226921849	314.54
2024-07-01	SPY	545.3400268554688	314.54
2024-07-01	GLD	215.57000732421875	314.54
2024-07-01	GLD	215.57000732421875	314.54
2024-07-01	SPY	545.3400268554688	314.54
